A00,COLERA
K56,ILEO PARALITICO Y OBSTRUCCION INTESTINAL SIN HERNIA
K57,ENFERMEDAD DIVERTICULAR DEL INTESTINO
K58,SÍNDROME DEL COLON IRRITABLE
K59,OTROS TRASTORNOS FUNCIONALES DEL INTESTINO
K60,FISURA Y FISTULA DE LAS REGIONES ANAL Y RECTAL
K61,ABSCESO DE LAS REGIONES ANAL Y RECTAL
K62,OTRAS ENFERMEDADES DEL ANO Y DEL RECTO
K63,OTRAS ENFERMEDADES DE LOS INTESTINOS
K65,PERITONITIS
K66,OTROS TRASTORNOS DEL PERITONEO
K67,TRASTORNOS DEL PERITONEO EN ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE
K70,ENFERMEDAD ALCOHOLICA DEL HIGADO
K71,ENFERMEDAD TOXICA DEL HIGADO
K72,INSUFICIENCIA HEPÁTICA NO CLASIFICADA EN OTRA PARTE
K73,HEPATITIS CRONICA NO CLASIFICADA EN OTRA PARTE
K74,FIBROSIS Y CIRROSIS DEL HIGADO
K75,OTRAS ENFERMEDADES INFLAMATORIAS DEL HIGADO
K76,OTRAS ENFERMEDADES DEL HIGADO
K77,TRASTORNOS DEL HIGADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K80,COLELITIASIS
K81,COLECISTITIS
K82,OTRAS ENFERMEDADES DE LA VESICULA BILIAR
K83,OTRAS ENFERMEDADES DE LAS VIAS BILIARES
K85,PANCREATITIS AGUDA
K86,OTRAS ENFERMEDADES DEL PÁNCREAS
K87,TRASTORNOS DE LA VESICULA BILIAR DE LAS VIAS BILIARES Y DEL PÁNCREAS EN ENFERMEDADES CLASIFICA
K90,MALABSORCION INTESTINAL
K91,TRASTORNOS DEL SISTEMA DIGESTIVO CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
K92,OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO
K93,TRASTORNOS DE OTROS ORGANOS DIGESTIVOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L00,SÍNDROME ESTAFILOCOCICO DE LA PIEL ESCALDADA
L01,IMPÉTIGO
L02,ABSCESO CUTÁNEO FURUNCULO Y CARBUNCO
L03,CELULITIS
L04,LINFADENITIS AGUDA
L05,QUISTE PILONIDAL
L08,OTRAS INFECCIONES LOCALES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
L10,PENFIGO
L11,OTROS TRASTORNOS ACANTOLITICOS
L12,PENFIGOIDE
L13,OTROS TRASTORNOS FLICTENULARES
L14,TRASTORNOS FLICTENULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L20,DERMATITIS ATOPICA
L21,DERMATITIS SEBORREICA
L22,DERMATITIS DEL PAÑAL
L23,DERMATITIS ALÉRGICA DE CONTACTO
L24,DERMATITIS DE CONTACTO POR IRRITANTES
L25,DERMATITIS DE CONTACTO FORMA NO ESPECIFICADA
L26,DERMATITIS EXFOLIATIVA
L27,DERMATITIS DEBIDA A SUSTANCIAS INGERIDAS
L28,LIQUEN SIMPLE CRONICO Y PRURIGO
L29,PRURITO
L30,OTRAS DERMATITIS
L40,PSORIASIS
L41,PARAPSORIASIS
L42,PITIRIASIS ROSADA
L43,LIQUEN PLANO
L44,OTROS TRASTORNOS PAPULOESCAMOSOS
L45,TRASTORNOS PAPULOESCAMOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L50,URTICARIA
L51,ERITEMA MULTIFORME
L52,ERITEMA NUDOSO
L53,OTRAS AFECCIONES ERITEMATOSAS
L54,ERITEMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L55,QUEMADURA SOLAR
L56,OTROS CAMBIOS AGUDOS DE LA PIEL DEBIDOS A RADIACION ULTRAVIOLETA
L57,CAMBIOS DE LA PIEL DEBIDOS A EXPOSICION CRONICA A RADIACION NO IONIZANTE
L58,RADIODERMATITIS
L59,OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO RELACIONADOS CON RADIACION
L60,TRASTORNOS DE LAS UÑAS
L62,TRASTORNOS DE LAS UÑAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L63,ALOPECIA AREATA
L64,ALOPECIA ANDROGENA
L65,OTRA PÉRDIDA NO CICATRICIAL DEL PELO
L66,ALOPECIA CICATRICIAL PÉRDIDA CICATRICIAL DEL PELO
L67,ANORMALIDADES DEL TALLO Y DEL COLOR DEL PELO
L68,HIPERTRICOSIS
L70,ACNE
L71,ROSÁCEA
L72,QUISTE FOLICULAR DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
L73,OTROS TRASTORNOS FOLICULARES
L74,TRASTORNOS SUDORIPAROS ECRINOS
L75,TRASTORNOS SUDORIPAROS APOCRINOS
L80,VITILIGO
L81,OTROS TRASTORNOS DE LA PIGMENTACION
L82,QUERATOSIS SEBORREICA
L83,ACANTOSIS NIGRICANS
L84,CALLOS Y CALLOSIDADES
L85,OTROS TIPOS DE ENGROSAMIENTO EPIDERMICO
L86,QUERATODERMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L87,TRASTORNOS DE LA ELIMINACION TRANSEPIDERMICA
L88,PIODERMA GANGRENOSO
L89,ULCERA DE DECUBITO
L90,TRASTORNOS ATROFICOS DE LA PIEL
L91,TRASTORNOS HIPERTROFICOS DE LA PIEL
L92,TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
L93,LUPUS ERITEMATOSO
L94,OTROS TRASTORNOS LOCALIZADOS DEL TEJIDO CONJUNTIVO
L95,VASCULITIS LIMITADA A LA PIEL NO CLASIFICADA EN OTRA PARTE
L97,ULCERA DE MIEMBRO INFERIOR NO CLASIFICADA EN OTRA PARTE
L98,OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO NO CLASIFICADOS EN OTRA PARTE
L99,OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO EN ENFERMEDADES  CLASIFICADAS EN OTRA PARTE
M00,ARTRITIS PIOGENA
M01,INFECCIONES DIRECTAS DE LA ARTICULACION EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS
M02,ARTROPATIAS REACTIVAS
M03,ARTROPATIAS POSTINFECCIOSAS Y REACTIVAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M05,ARTRITIS REUMATOIDE SEROPOSITIVA
M06,OTRAS ARTRITIS REUMATOIDES
M07,ARTROPATIAS PSORIÁSICAS Y ENTEROPÁTICAS
M08,ARTRITIS JUVENIL
M09,ARTRITIS JUVENIL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M10,GOTA
M11,OTRAS ARTROPATIAS POR CRISTALES
M12,OTRAS ARTROPATIAS ESPECIFICAS
M13,OTRAS ARTRITIS
M14,ARTROPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M15,POLIARTROSIS
M16,COXARTROSIS ARTROSIS DE LA CADERA
M17,GONARTROSIS ARTROSIS DE LA RODILLA
M18,ARTROSIS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA
M19,OTRAS ARTROSIS
M20,DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DE LA MANO Y DEL PIE
M21,OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS
M22,TRASTORNOS DE LA ROTULA
M23,TRASTORNO INTERNO DE LA RODILLA
M24,OTROS TRASTORNOS ARTICULARES ESPECIFICOS
M25,OTROS TRASTORNOS ARTICULARES NO CLASIFICADOS EN OTRA PARTE
M30,POLIARTERITIS NUDOSA Y AFECCIONES RELACIONADAS
M31,OTRAS VASCULOPATIAS NECROTIZANTES
M32,LUPUS ERITEMATOSO SISTÉMICO
M33,DERMATOPOLIMIOSITIS
M34,ESCLEROSIS SISTÉMICA
M35,OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO
M36,TRASTORNOS SISTEMICOS DEL TEJIDO CONJUNTIVO EN ENFERMEDADES CLASIFICADAS EN  OTRA PARTE
M40,CIFOSIS Y LORDOSIS
M41,ESCOLIOSIS
M42,OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL
M43,OTRAS DORSOPATIAS DEFORMANTES
M45,ESPONDILITIS ANQUILOSANTE
M46,OTRAS ESPONDILOPATIAS INFLAMATORIAS
M47,ESPONDILOSIS
M48,OTRAS ESPONDILOPATIAS
M49,ESPONDILOPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M50,TRASTORNOS DE DISCO CERVICAL
M51,OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES
M53,OTRAS DORSOPATIAS NO CLASIFICADAS EN OTRA PARTE
M54,DORSALGIA
M60,MIOSITIS
M61,CALCIFICACION Y OSIFICACION DEL MUSCULO
M62,OTROS TRASTORNOS DE LOS MUSCULOS
M63,TRASTORNOS DE LOS MUSCULOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M65,SINOVITIS Y TENOSINOVITIS
M66,RUPTURA ESPONTÁNEA DE LA SINOVIA Y DEL TENDON
M67,OTROS TRASTORNOS DE LA SINOVIA Y DEL TENDON
M68,TRASTORNOS DE LOS TENDONES Y DE LA SINOVIA EN ENFERMEDADES CLASIFICADAS EN  OTRA PARTE
M70,TRASTORNOS DE LOS TEJIDOS BLANDOS RELACIONADOS CON EL USO EL USO EXCESIVO Y LA PRESION
M71,OTRAS BURSOPATIAS
M72,TRASTORNOS FIBROBLÁSTICOS
M73,TRASTORNOS DE LOS TEJIDOS BLANDOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M75,LESIONES DEL HOMBRO
M76,ENTESOPATIAS DEL MIEMBRO INFERIOR EXCLUIDO EL PIE
M77,OTRAS ENTESOPATIAS
M79,OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS NO CLASIFICADOS EN OTRA PARTE
M80,OSTEOPOROSIS CON FRACTURA PATOLOGICA
M81,OSTEOPOROSIS SIN FRACTURA PATOLOGICA
M82,OSTEOPOROSIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M83,OSTEOMALACIA DEL ADULTO
M84,TRASTORNOS DE LA CONTINUIDAD DEL HUESO
M85,OTROS TRASTORNOS DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS
M86,OSTEOMIELITIS
M87,OSTEONECROSIS
M88,ENFERMEDAD DE PAGET DE LOS HUESOS OSTEITIS DEFORMANTE
M89,OTROS TRASTORNOS DEL HUESO
M90,OSTEOPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M91,OSTEOCONDROSIS JUVENIL DE LA CADERA Y DE LA PELVIS
M92,OTRAS OSTEOCONDROSIS JUVENILES
M93,OTRAS OSTEOCONDROPATIAS
M94,OTROS TRASTORNOS DEL CARTILAGO
M95,OTRAS DEFORMIDADES ADQUIRIDAS DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO  CONJUNTIVO
M96,TRASTORNOS OSTEOMUSCULARES CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS  EN OTRA PARTE
M99,LESIONES BIOMECÁNICAS NO CLASIFICADAS EN OTRA PARTE
N00,SÍNDROME NEFRITICO AGUDO
N01,SÍNDROME NEFRITICO RÁPIDAMENTE PROGRESIVO
N02,HEMATURIA RECURRENTE Y PERSISTENTE
N03,SÍNDROME NEFRITICO CRONICO
N04,SÍNDROME NEFROTICO
N05,SÍNDROME NEFRITICO NO ESPECIFICADO
N06,PROTEINURIA AISLADA CON LESION MORFOLOGICA ESPECIFICADA
N07,NEFROPATIA HEREDITARIA NO CLASIFICADA EN OTRA PARTE
N08,TRASTORNOS GLOMERULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N10,NEFRITIS TUBULOINTERSTICIAL AGUDA
N11,NEFRITIS TUBULOINTERSTICIAL CRONICA
N12,NEFRITIS TUBULOINTERSTICIAL NO ESPECIFICADA COMO AGUDA O CRONICA
N13,UROPATIA OBSTRUCTIVA Y POR REFLUJO
N14,AFECCIONES TUBULARES Y TUBULOINTERSTICIALES INDUCIDAS POR DROGAS Y POR METALES PESADOS
N15,OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES
N16,TRASTORNOS RENALES TUBULOINTERSTICIALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N17,INSUFICIENCIA RENAL AGUDA
N18,INSUFICIENCIA RENAL CRONICA
N19,INSUFICIENCIA RENAL NO ESPECIFICADA
N20,CÁLCULO DEL RIÑON Y DEL URÉTER
N21,CÁLCULO DE LAS VIAS URINARIAS INFERIORES
N22,CÁLCULO DE LAS VIAS URINARIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N23,COLICO RENAL NO ESPECIFICADO
N25,TRASTORNOS RESULTANTES DE LA FUNCION TUBULAR RENAL ALTERADA
N26,RIÑON CONTRAIDO NO ESPECIFICADO
N27,RIÑON PEQUEÑO DE CAUSA DESCONOCIDA
N28,OTROS TRASTORNOS DEL RIÑON Y DEL URÉTER NO CLASIFICADOS EN OTRA PARTE
N29,OTROS TRASTORNOS DEL RIÑON Y DEL URÉTER EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N30,CISTITIS
N31,DISFUNCION NEUROMUSCULAR DE LA VEJIGA NO CLASIFICADA EN OTRA PARTE
N32,OTROS TRASTORNOS DE LA VEJIGA
N33,TRASTORNOS DE LA VEJIGA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N34,URETRITIS Y SÍNDROME URETRAL
N35,ESTRECHEZ URETRAL
N36,OTROS TRASTORNOS DE LA URETRA
N37,TRASTORNOS DE LA URETRA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N39,OTROS TRASTORNOS DEL SISTEMA URINARIO
N40,HIPERPLASIA DE LA PROSTATA
N41,ENFERMEDADES INFLAMATORIAS DE LA PROSTATA
N42,OTROS TRASTORNOS DE LA PROSTATA
N43,HIDROCELE Y ESPERMATOCELE
N44,TORSION DEL TESTICULO
N45,ORQUITIS Y EPIDIDIMITIS
N46,ESTERILIDAD EN EL VARON
N47,PREPUCIO REDUNDANTE FIMOSIS Y PARAFIMOSIS
N48,OTROS TRASTORNOS DEL PENE
N49,TRASTORNOS INFLAMATORIOS DE ORGANOS GENITALES MASCULINOS NO CLASIFICADOS EN OTRA PARTE
N50,OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS
N51,TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N60,DISPLASIA MAMARIA BENIGNA
N61,TRASTORNOS INFLAMATORIOS DE LA MAMA
N62,HIPERTROFIA DE LA MAMA
N63,MASA NO ESPECIFICADA EN LA MAMA
N64,OTROS TRASTORNOS DE LA MAMA
N70,SALPINGITIS Y OOFORITIS
N71,ENFERMEDAD INFLAMATORIA DEL UTERO EXCEPTO DEL CUELLO UTERINO
N72,ENFERMEDAD INFLAMATORIA DEL CUELLO UTERINO
N73,OTRAS ENFERMEDADES PÉLVICAS INFLAMATORIAS FEMENINAS
N74,TRASTORNOS INFLAMATORIOS DE LA PELVIS FEMENINA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N75,ENFERMEDADES DE LA GLÁNDULA DE BARTHOLIN
N76,OTRAS AFECCIONES INFLAMATORIAS DE LA VAGINA Y DE LA VULVA
N77,ULCERACION E INFLAMACION VULVOVAGINAL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N80,ENDOMETRIOSIS
N81,PROLAPSO GENITAL FEMENINO
N82,FISTULAS QUE AFECTAN EL TRACTO GENITAL FEMENINO
N83,TRASTORNOS NO INFLAMATORIOS DEL OVARIO DE LA TROMPA DE FALOPIO Y DEL LIGAMENTO  ANCHO
N84,POLIPO DEL TRACTO GENITAL FEMENINO
N85,OTROS TRASTORNOS NO INFLAMATORIOS DEL UTERO EXCEPTO DEL CUELLO
N86,EROSION Y ECTROPION DEL CUELLO DEL UTERO
N87,DISPLASIA DEL CUELLO UTERINO
N88,OTROS TRASTORNOS NO INFLAMATORIOS DEL CUELLO DEL UTERO
N89,OTROS TRASTORNOS NO INFLAMATORIOS DE LA VAGINA
N90,OTROS TRASTORNOS NO INFLAMATORIOS DE LA VULVA Y DEL PERINEO
N91,MENSTRUACION AUSENTE ESCASA O RARA
N92,MENSTRUACION EXCESIVA FRECUENTE E IRREGULAR
N93,OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES
N94,DOLOR Y OTRAS AFECCIONES RELACIONADAS CON LOS ORGANOS GENITALES FEMENINOS Y CON EL CICLO MENSTRUAL
N95,OTROS TRASTORNOS MENOPÁUSICOS Y PERIMENOPÁUSICOS
N96,ABORTADORA HABITUAL
N97,INFERTILIDAD FEMENINA
N98,COMPLICACIONES ASOCIADAS CON LA FECUNDACION ARTIFICIAL
N99,TRASTORNOS DEL SISTEMA GENITOURINARIO CONSECUTIVOS A PROCEDIMIENTOS NO  CLASIFICADOS EN OTRA PARTE
O00,EMBARAZO ECTOPICO
O01,MOLA HIDATIFORME
O02,OTROS PRODUCTOS ANORMALES DE LA CONCEPCION
O03,ABORTO ESPONTANEO
O04,ABORTO MÉDICO
O05,OTRO ABORTO
O06,ABORTO NO ESPECIFICADO
O07,INTENTO FALLIDO DE ABORTO
O08,COMPLICACIONES CONSECUTIVAS AL ABORTO AL EMBARAZO ECTOPICO Y AL EMBARAZO  MOLAR
O10,HIPERTENSION PREEXISTENTE QUE COMPLICA EL EMBARAZO EL PARTO Y EL PUERPERIO
O11,TRASTORNOS HIPERTENSIVOS PREEXISTENTES CON PROTEINURIA AGREGADA
O12,EDEMA Y PROTEINURIA GESTACIONALES INDUCIDOS POR EL EMBARAZO SIN HIPERTENSION
O13,HIPERTENSION GESTACIONAL INDUCIDA POR EL EMBARAZO SIN PROTEINURIA  SIGNIFICATIVA
O14,HIPERTENSION GESTACIONAL INDUCIDA POR EL EMBARAZO CON PROTEINURIA  SIGNIFICATIVA
O15,ECLAMPSIA
O16,HIPERTENSION MATERNA NO ESPECIFICADA
O20,HEMORRAGIA PRECOZ DEL EMBARAZO
O21,VOMITOS EXCESIVOS EN EL EMBARAZO
O22,COMPLICACIONES VENOSAS EN EL EMBARAZO
O23,INFECCION DE LAS VIAS GENITOURINARIAS EN EL EMBARAZO
O24,DIABETES MELLITUS EN EL EMBARAZO
O25,DESNUTRICION EN EL EMBARAZO
O26,ATENCION A LA MADRE POR OTRAS COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO
O28,HALLAZGOS ANORMALES EN EL EXAMEN PRENATAL DE LA MADRE
O29,COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL EMBARAZO
O30,EMBARAZO MULTIPLE
O31,COMPLICACIONES ESPECIFICAS DEL EMBARAZO MULTIPLE
O32,ATENCION MATERNA POR PRESENTACION ANORMAL DEL FETO CONOCIDA O PRESUNTA
O33,ATENCION MATERNA POR DESPROPORCION CONOCIDA O PRESUNTA
O34,ATENCION MATERNA POR ANORMALIDADES CONOCIDAS O PRESUNTAS DE LOS ORGANOS PELVIANOS DE LA MADRE
O35,ATENCION MATERNA POR ANORMALIDAD O LESION FETAL CONOCIDA O PRESUNTA
O36,ATENCION MATERNA POR OTROS PROBLEMAS FETALES CONOCIDOS O PRESUNTOS
O40,POLIHIDRAMNIOS
O41,OTROS TRASTORNOS DEL LIQUIDO AMNIOTICO Y DE LAS MEMBRANAS
O42,RUPTURA PREMATURA DE LAS MEMBRANAS
O43,TRASTORNOS PLACENTARIOS
O44,PLACENTA PREVIA
O45,DESPRENDIMIENTO PREMATURO DE LA PLACENTA ABRUPTIO PLACENTAE
O46,HEMORRAGIA ANTEPARTO NO CLASIFICADA EN OTRA PARTE
O47,FALSO TRABAJO DE PARTO
O48,EMBARAZO PROLONGADO
O60,PARTO PREMATURO
O61,FRACASO DE LA INDUCCION DEL TRABAJO DE PARTO
O62,ANORMALIDADES DE LA DINÁMICA DEL TRABAJO DE PARTO
O63,TRABAJO DE PARTO PROLONGADO
O64,TRABAJO DE PARTO OBSTRUIDO DEBIDO A MALA POSICION Y PRESENTACION ANORMAL DEL FETO
O65,TRABAJO DE PARTO OBSTRUIDO DEBIDO A ANORMALIDAD DE LA PELVIS MATERNA
O66,OTRAS OBSTRUCCIONES DEL TRABAJO DE PARTO
O67,TRABAJO DE PARTO Y PARTO COMPLICADOS POR HEMORRAGIA INTRAPARTO NO CLASIFICADOS EN OTRA PARTE
O68,TRABAJO DE PARTO Y PARTO COMPLICADOS POR SUFRIMIENTO FETAL
O69,TRABAJO DE PARTO Y PARTO COMPLICADOS POR PROBLEMAS DEL CORDON UMBILICAL
O70,DESGARRO PERINEAL DURANTE EL PARTO
O71,OTRO TRAUMA OBSTETRICO
O72,HEMORRAGIA POSTPARTO
O73,RETENCION DE LA PLACENTA O DE LAS MEMBRANAS SIN HEMORRAGIA
O74,COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL TRABAJO DE PARTO Y EL PARTO
O75,OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO NO CLASIFICADAS EN OTRA PARTE
O80,PARTO UNICO ESPONTÁNEO
O81,PARTO UNICO CON FORCEPS Y VENTOSA EXTRACTORA
O82,PARTO UNICO POR CESÁREA
O83,OTROS PARTOS UNICOS ASISTIDOS
O84,PARTO MULTIPLE
O85,SEPSIS PUERPERAL
O86,OTRAS INFECCIONES PUERPERALES
O87,COMPLICACIONES VENOSAS EN EL PUERPERIO
O88,EMBOLIA OBSTÉTRICA
O89,COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL PUERPERIO
O90,COMPLICACIONES DEL PUERPERIO NO CLASIFICADAS EN OTRA PARTE
O91,INFECCIONES DE LA MAMA ASOCIADAS CON EL PARTO
O92,OTROS TRASTORNOS DE LA MAMA Y DE LA LACTANCIA ASOCIADOS CON EL PARTO
O95,MUERTE OBSTÉTRICA DE CAUSA NO ESPECIFICADA
O96,MUERTE MATERNA DEBIDA A CUALQUIER CAUSA OBSTÉTRICA QUE OCURRE DESPUÉS DE 42 DIAS
O97,MUERTE POR SECUELAS DE CAUSAS OBSTÉTRICAS DIRECTAS
O98,ENFERMEDADES MATERNAS INFECCIOSAS Y PARASITARIAS CLASIFICABLES EN OTRA PARTE PERO QUE COMPLICAN EL EMBARAZO EL PARTO Y EL PUERPERIO
O99,OTRAS ENFERMEDADES MATERNAS CLASIFICABLES EN OTRA PARTE PERO QUE COMPLICAN EL EMBARAZO EL PARTO Y EL PUERPERIO
P00,FETO Y RECIÉN NACIDO AFECTADOS POR CONDICIONES DE LA MADRE NO NECESARIAMENTE RELACIONADAS CON EL EMBARAZO PRESENTE
P01,FETO Y RECIÉN NACIDO AFECTADOS POR COMPLICACIONES MATERNAS DEL EMBARAZO
P02,FETO Y RECIÉN NACIDO AFECTADOS POR COMPLICACIONES DE LA PLACENTA DEL CORDON UMBILICAL Y DE LAS MEMBRANAS
P03,FETO Y RECIÉN NACIDO AFECTADOS POR OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO
P04,FETO Y RECIÉN NACIDO AFECTADOS POR INFLUENCIAS NOCIVAS TRANSMITIDAS A TRAVÉS DE LA PLACENTA O DE LA LECHE MATERNA
P05,RETARDO DEL CRECIMIENTO FETAL Y DESNUTRICION FETAL
P07,TRASTORNOS RELACIONADOS CON DURACION CORTA DE LA GESTACION Y CON BAJO PESO AL NACER NO CLASIFICADOS EN OTRA PARTE
P08,TRASTORNOS RELACIONADOS CON EL EMBARAZO PROLONGADO Y CON SOBREPESO AL NACER
P10,HEMORRAGIA Y LACERACION INTRACRANEAL DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P11,OTROS TRAUMATISMOS DEL NACIMIENTO EN EL SISTEMA NERVIOSO CENTRAL
P12,TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO
P13,TRAUMATISMO DEL ESQUELETO DURANTE EL NACIMIENTO
P14,TRAUMATISMO DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO
P15,OTROS TRAUMATISMOS DEL NACIMIENTO
P20,HIPOXIA INTRAUTERINA
P21,ASFIXIA DEL NACIMIENTO
P22,DIFICULTAD RESPIRATORIA DEL RECIÉN NACIDO
P23,NEUMONIA CONGÉNITA
P24,SÍNDROMES DE ASPIRACION NEONATAL
P25,ENFISEMA INTERSTICIAL Y AFECCIONES RELACIONADAS ORIGINADAS EN EL PERIODO PERINATAL
P26,HEMORRAGIA PÚLMONAR ORIGINADA EN EL PERIODO PERINATAL
P27,ENFERMEDAD RESPIRATORIA CRONICA ORIGINADA EN EL PERIODO PERINATAL
P28,OTROS PROBLEMAS RESPIRATORIOS DEL RECIEN NACIDO ORIGINADOS EN EL PERIODO PERINATAL
P29,TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P35,ENFERMEDADES VIRALES CONG?NITAS
P36,SEPSIS BACTERIANA DEL RECIEN NACIDO
P37,OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CONGÉNITAS
P38,ONFALITIS DEL RECIÉN NACIDO CON O SIN HEMORRAGIA LEVE
P39,OTRAS INFECCIONES ESPECIFICAS DEL PERIODO PERINATAL
P50,PERDIDA DE SANGRE FETAL
P51,HEMORRAGIA UMBILICAL DEL RECIÉN NACIDO
P52,HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA DEL FETO Y DEL RECIÉN NACIDO
P53,ENFERMEDAD HEMORRÁGICA DEL FETO Y DEL RECIÉN NACIDO
P54,OTRAS HEMORRAGIAS NEONATALES
P55,ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIÉN NACIDO
P56,HIDROPESIA FETAL DEBIDA A ENFERMEDAD HEMOLITICA
P57,KERNICTERUS
P58,ICTERICIA NEONATAL DEBIDA A OTRAS HEMOLISIS EXCESIVAS
P59,ICTERICIA NEONATAL POR OTRAS CAUSAS Y POR LAS NO ESPECIFICADAS
P60,COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EL RECIÉN NACIDO
P61,OTROS TRASTORNOS HEMATOLOGICOS PERINATALES
P70,TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS ESPECIFICOS DEL FETO Y DEL RECIEN NACIDO
P71,TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P72,OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS
P74,OTRAS ALTERACIONES METABOLICAS Y ELECTROLITICAS NEONATALES TRANSITORIAS
P75,ILEO MECONIAL E84.1+
P76,OTRAS OBSTRUCCIONES INTESTINALES DEL RECIEN NACIDO
P77,ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIÉN NACIDO
P78,OTROS TRASTORNOS PERINATALES DEL SISTEMA DIGESTIVO
P80,HIPOTERMIA DEL RECIÉN NACIDO
P81,OTRAS ALTERACIONES DE LA REGULACION DE LA TEMPERATURA EN EL RECIÉN NACIDO
P83,OTRAS AFECCIONES DE LA PIEL ESPECIFICAS DEL FETO Y DEL RECIÉN NACIDO
P90,CONVULSIONES DEL RECIÉN NACIDO
P91,OTRAS ALTERACIONES CEREBRALES DEL RECIÉN NACIDO
P92,PROBLEMAS DE LA INGESTION DE ALIMENTOS DEL RECIEN NACIDO
P93,REACCIONES E INTOXICACIONES DEBIDAS A DROGAS ADMINISTRADAS AL FETO Y EL RECI?N NACIDO
P94,TRASTORNOS DEL TONO MUSCULAR EN EL RECIEN NACIDO
P95,MUERTE FETAL DE CAUSA NO ESPECIFICADA
